Código,Curso,Tipo de asignatura,Cuatrimestre,Nombre,Créditos
10898,Curso,Cursos de Humanidades,1erCuatrimestre,Ciudadanos y administración de justicia,3
10901,Curso,Cursos de Humanidades,2oCuatrimestre,Discapacidad y derechos humanos,3
10907,Curso,Cursos de Humanidades,1erCuatrimestre,El Derecho en el Cine,3
10916,Curso,Cursos de Humanidades,2oCuatrimestre,Consecuencias de la globalización y relaciones laborales,3
10926,Curso,Cursos de Humanidades,1erCuatrimestre,Futuro del trabajo: revolución 4.0,3
11008,Curso,Cursos de Humanidades,1erCuatrimestre,Entre dos guerras mundiales (1914-1945),3
11038,Curso,Cursos de Humanidades,1erCuatrimestre,I.A. y el Futuro del Sector Financiero,3
11040,Curso,Cursos de Humanidades,1erCuatrimestre,Debates sobre dilemas tecnológicos,3
11187,Curso,Cursos de Humanidades,1erCuatrimestre,La Guerra Fría (1945-1990),3
11197,Curso,Cursos de Humanidades,1erCuatrimestre,Mediación y gestión de conflictos,3
11206,Curso,Cursos de Humanidades,1erCuatrimestre,Sociología de la profesión de ingeniero,3
11259,Curso,Cursos de Humanidades,1erCuatrimestre,Ciencia ciudadana y sostenibilidad,3
11335,Curso,Cursos de Humanidades,1erCuatrimestre,Historia del Automóvil,3
11419,Curso,Cursos de Humanidades,1erCuatrimestre,La agenda 2030 y nuevo derecho social,3
11682,Curso,Cursos de Humanidades,2oCuatrimestre,Liderazgo Inclusivo,3
11683,Curso,Cursos de Humanidades,1erCuatrimestre,"Los años 60 y el ""New Journalism""",3
11687,Curso,Cursos de Humanidades,1erCuatrimestre,Pobreza y Rentas Básicas en España,3
11688,Curso,Cursos de Humanidades,1erCuatrimestre,Seguridad Vial,3
11689,Curso,Cursos de Humanidades,1erCuatrimestre,Tecnoética aplicada a la ingeniería,3
11691,Curso,Cursos de Humanidades,1erCuatrimestre,Usos actuales y futuros de los drones,3
11714,Curso,Cursos de Humanidades,2oCuatrimestre,Arte y Tecnología,3
12712,Curso,Cursos de Humanidades,1erCuatrimestre,Comprendiendo el Universo,3
