Codigo_asignatura,Nombre,Créditos,Curso,Cuatrimestre,Tipo de asignatura,Semana,Actividad,Tipo de actividad
13866,Cálculo,6.0,1,1erCuatrimestre,Formación Básica,5,Primer examen parcial (10%)  / mid-term exam (10%),Examen
13866,Cálculo,6.0,1,1erCuatrimestre,Formación Básica,11,Segundo examen parcial (30%)  / mid-term exam (10%),Examen
13868,Programación,6.0,1,1erCuatrimestre,Formación Básica,8,Entrega de ejercicios semanales / Delivery of weekly exercises,Ejercicio
13868,Programación,6.0,1,1erCuatrimestre,Formación Básica,9,Examen parcial / Mid-term exam,Examen
13868,Programación,6.0,1,1erCuatrimestre,Formación Básica,10,Entrega de ejercicios semanales / Delivery of weekly exercises,Ejercicio
13868,Programación,6.0,1,1erCuatrimestre,Formación Básica,11,Entrega de ejercicios semanales / Delivery of weekly exercises,Ejercicio
13868,Programación,6.0,1,1erCuatrimestre,Formación Básica,12,Entrega de ejercicios semanales / Delivery of weekly exercises,Ejercicio
13868,Programación,6.0,1,1erCuatrimestre,Formación Básica,15,Entrega del proyecto final / Final Project delivery,Práctica
13869,Tecnología de Computadores,6.0,1,2oCuatrimestre,Formación Básica,6,Laboratorio Sesión 1- Lab Session 1,Laboratorio
13869,Tecnología de Computadores,6.0,1,2oCuatrimestre,Formación Básica,7,Laboratorio Sesión 2- Lab Session 2,Laboratorio
13869,Tecnología de Computadores,6.0,1,2oCuatrimestre,Formación Básica,8,Examen parcial 1- Partial Exam 1,Examen
13869,Tecnología de Computadores,6.0,1,2oCuatrimestre,Formación Básica,9,Laboratorio Sesión 3- Lab Session 3,Laboratorio
13869,Tecnología de Computadores,6.0,1,2oCuatrimestre,Formación Básica,12,Laboratorio Sesión 4- Lab Session 4,Laboratorio
13873,Estructura de datos y algoritmos,6.0,1,2oCuatrimestre,Formación Básica,7,"PRIMER EXAMEN PARCIAL (Temas: Tipos Abstractos de Datos (TADs), TADs LINEALES Y ANÁLISIS DE ALGORITMOS)First Mid-Term exam (Topics: Abstract Data Types (ADTs), Linear data structures, Analysis of algorithms)",Examen
13873,Estructura de datos y algoritmos,6.0,1,2oCuatrimestre,Formación Básica,9,"PRIMERA PRUEBA DE LABORATORIO SOBRE ESTRUCTURAS LINEALES Y ANÁLISIS DE ALGORITMOS. FIRST LAB TEST ABOUT LINEARDATA STRUCTURES AND ANALYSIS OF ALGORITHMS",Laboratorio
13873,Estructura de datos y algoritmos,6.0,1,2oCuatrimestre,Formación Básica,12,"SEGUNDO EXAMEN PARCIAL (Temas: RECURSIÓN, ÁRBOLES, ANÁLISIS DE ALGORITMOS)Second Mid-Term exam (Topics: RECURSION, TREES, Analysis of algorithms)",Examen
13873,Estructura de datos y algoritmos,6.0,1,2oCuatrimestre,Formación Básica,14,"SEGUNDA PRUEBA DE LABORATORIO SOBRE ESTRUCTURAS NO LINEALES (ÁRBOLES) Y ANÁLISIS DE ALGORITMOS. SECOND LAB TESTABOUT TREES AND ANALYSIS OF ALGORITHMS",Laboratorio
13874,Estructura de Computadores,6.0,2o,1erCuatrimestre,Formación Básica,7,Entrega primera práctica. Programación en ensamblador / Delivery first practice. Assembler programming,Práctica
13874,Estructura de Computadores,6.0,2o,1erCuatrimestre,Formación Básica,13,Entrega segunda práctica. Microprogramación/ Delivery second practice. Microprogramming.,Práctica
13874,Estructura de Computadores,6.0,2o,1erCuatrimestre,Formación Básica,5,Miniexam 1,Otros
13874,Estructura de Computadores,6.0,2o,1erCuatrimestre,Formación Básica,9,Miniexam 2,Otros
13874,Estructura de Computadores,6.0,2o,1erCuatrimestre,Formación Básica,13,Miniexam 3,Otros
13881,Ficheros y bases de datos,6.0,2o,2oCuatrimestre,Formación Básica,2,"Primer trabajo práctico: Diseño Relacional y Carga Masiva (entrega en la semana 5) /First assignment: Relational Design and DB Population (due in week 5th)",Práctica
13881,Ficheros y bases de datos,6.0,2o,2oCuatrimestre,Formación Básica,3,"Primer trabajo práctico: Diseño Relacional y Carga Masiva (entrega en la semana 5) /First assignment: Relational Design and DB Population (due in week 5th)",Práctica
13881,Ficheros y bases de datos,6.0,2o,2oCuatrimestre,Formación Básica,4,"Primer trabajo práctico: Diseño Relacional y Carga Masiva (entrega en la semana 5) /First assignment: Relational Design and DB Population (due in week 5th)",Práctica
13881,Ficheros y bases de datos,6.0,2o,2oCuatrimestre,Formación Básica,5,"Primer trabajo práctico: Diseño Relacional y Carga Masiva (entrega en la semana 5) /First assignment: Relational Design and DB Population (due in week 5th)",Práctica
13881,Ficheros y bases de datos,6.0,2o,2oCuatrimestre,Formación Básica,6,Ejercicio de teoría / Theory test,Ejercicio
13881,Ficheros y bases de datos,6.0,2o,2oCuatrimestre,Formación Básica,6,"Segundo trabajo práctico: Consultas, procedimientos, vistas, diseño externo y disparadores (entrega en la semana 10) /Second assignment: Queries, procedures, views, external design and triggering (due in week 10th)",Práctica
13881,Ficheros y bases de datos,6.0,2o,2oCuatrimestre,Formación Básica,7,"Segundo trabajo práctico: Consultas, procedimientos, vistas, diseño externo y disparadores (entrega en la semana 10) /Second assignment: Queries, procedures, views, external design and triggering (due in week 10th)",Práctica
13881,Ficheros y bases de datos,6.0,2o,2oCuatrimestre,Formación Básica,8,"Segundo trabajo práctico: Consultas, procedimientos, vistas, diseño externo y disparadores (entrega en la semana 10) /Second assignment: Queries, procedures, views, external design and triggering (due in week 10th)",Práctica
13881,Ficheros y bases de datos,6.0,2o,2oCuatrimestre,Formación Básica,9,"Segundo trabajo práctico: Consultas, procedimientos, vistas, diseño externo y disparadores (entrega en la semana 10) /Second assignment: Queries, procedures, views, external design and triggering (due in week 10th)",Práctica
13881,Ficheros y bases de datos,6.0,2o,2oCuatrimestre,Formación Básica,10,"Segundo trabajo práctico: Consultas, procedimientos, vistas, diseño externo y disparadores (entrega en la semana 10) /Second assignment: Queries, procedures, views, external design and triggering (due in week 10th)",Práctica
13881,Ficheros y bases de datos,6.0,2o,2oCuatrimestre,Formación Básica,11,Examen de Laboratorio / Laboratory test,Laboratorio
13881,Ficheros y bases de datos,6.0,2o,2oCuatrimestre,Formación Básica,12,"Tercer trabajo práctico: Diseño físico y afinamiento (entrega en la semana 13) /Third assignment: Physical Design and DB Tunning (due in week 14th)",Práctica
13881,Ficheros y bases de datos,6.0,2o,2oCuatrimestre,Formación Básica,13,"Tercer trabajo práctico: Diseño físico y afinamiento (entrega en la semana 13) /Third assignment: Physical Design and DB Tunning (due in week 14th)",Práctica
13882,Interfaces de Usuario,6.0,3o,1erCuatrimestre,Obligatoria,4,"Entrega Práctica 1. Tecnologías Web: HTML 5/CSSSubmission First Laboratory. Web Technologies: HTML 5/CSS",Práctica
